Inning,Over.Ball,Over,Ball,Bowler,Batter,Runs,Outcome,Is Four,Is Six,Is Wicket,Is Extra,Extra Type,Commentary
Pakistan 1st Inning,33.4,33,4,Jofra Archer,Mohammad Abbas,0,no run,No,No,No,No,,"Dot ball !! fast ball,  good length,  on the stumps,  Jofra Archer bowls a sharp delivery,  and Mohammad Abbas goes forward to defend the ball,  but the ball nips away and beats the bat,  leaving the batter stranded."
Pakistan 1st Inning,33.3,33,3,Jofra Archer,Mohammad Ali,1,1 run,No,No,No,No,,"Mohammad Ali goes forward to take fast ball of full length aimed on the stumps,  executing a confident flick shot that sent the ball sailing towards deep mid wicket for 1 run."
Pakistan 1st Inning,33.2,33,2,Jofra Archer,Mohammad Ali,0,no run,No,No,No,No,,"Dot ball !! bouncer,  back of length,  on the stumps,  Jofra Archer sends down a sharp delivery,  Mohammad Ali goes back to defend it,  but mistimes the shot,  beats the bat,  leaving the batter confused."
Pakistan 1st Inning,33.1,33,1,Jofra Archer,Mohammad Ali,2,2 runs,No,No,No,No,,"Mohammad Ali goes forward and plays a well-timed push off an fast ball delivers at a good length by the bowler,  but the ball lands safely in the hands of the fielder at deep cover for 2 runs."
Pakistan 1st Inning,32.6,32,6,Josh Tongue,Mohammad Abbas,0,no run,No,No,No,No,,"Dot ball !! fast ball,  full length,  on the off stump,  Mohammad Abbas goes forward,  tucks defensive shot toward the fielder at short cover,  who halts the ball."
Pakistan 1st Inning,32.5,32,5,Josh Tongue,Mohammad Abbas,0,no run,No,No,No,No,,"Dot ball !! fast ball,  yorker,  on the stumps,  Mohammad Abbas goes forward,  dabs defensive shot with soft hands toward short cover,  but the fielder is quick to react,  thwarts the ball."
Pakistan 1st Inning,32.4,32,4,Josh Tongue,Mohammad Abbas,0,no run,No,No,No,No,,"Dot ball !! fast ball,  good length,  on the off stump,  Mohammad Abbas goes back,  tucks it toward the fielder at point,  who blocks the ball right away."
Pakistan 1st Inning,32.3,32,3,Josh Tongue,Mohammad Abbas,4,Four,Yes,No,No,No,,"Four !! fast ball,  full length,  on the off stump. Mohammad Abbas hangs in the crease,  hits drive in the gap towards deep point,  and ball finds the ropes in a flash for four."
Pakistan 1st Inning,32.2,32,2,Josh Tongue,Mohammad Abbas,4,Four,Yes,No,No,No,,"Four !! fast ball,  yorker,  on the leg stump. Mohammad Abbas goes back,  hits flick shot in the gap towards deep square leg,  and ball finds the ropes in a flash for four."
Pakistan 1st Inning,32.1,32,1,Josh Tongue,Mohammad Abbas,0,no run,No,No,Yes,No,,"Dot Ball !! outswinger,  good length,  on the stumps,  and Mohammad Abbas hangs on and tries to hit defensive shot,  but misses it completely as ball beats the bat,  goes to the keeper."
Pakistan 1st Inning,31.6,31,6,Jofra Archer,Mohammad Abbas,3,3 runs,No,No,No,No,,"Mohammad Abbas goes forward and plays a well-timed drive off an fast ball delivers at a fulltoss by the bowler,  but the ball lands safely in the hands of the fielder at deep cover for 3 runs."
Pakistan 1st Inning,31.5,31,5,Jofra Archer,Mohammad Abbas,0,no run,No,No,No,No,,"Dot ball !! fast ball,  yorker,  on the stumps,  Mohammad Abbas goes forward,  tucks defensive shot toward the fielder at short cover,  who halts the ball."
Pakistan 1st Inning,31.4,31,4,Jofra Archer,Mohammad Abbas,0,no run,No,No,No,No,,"Dot ball !! ,  good length,  on the off stump,  Mohammad Abbas goes forward,  tucks defensive shot toward the fielder at point,  who halts the ball."
Pakistan 1st Inning,31.3,31,3,Jofra Archer,Mohammad Ali,1,1 run,No,No,No,No,,"Mohammad Ali goes back and plays a well-timed defensive shot off an fast ball delivers at a good length by the bowler,  but the ball lands safely in the hands of the fielder at deep mid wicket for 1 run."
Pakistan 1st Inning,31.2,31,2,Jofra Archer,Mohammad Ali,0,no run,No,No,No,No,,"Dot ball !! fast ball,  good length,  on the stumps,  Mohammad Ali goes forward,  dabs defensive shot with soft hands toward short cover,  but the fielder is quick to react,  thwarts the ball."
Pakistan 1st Inning,31.1,31,1,Jofra Archer,Mohammad Ali,0,no run,No,No,No,No,,"Dot ball !! fast ball,  good length,  on the stumps,  goes back,  plays defensive shot to the short mid wicket."
Pakistan 1st Inning,30.6,30,6,Josh Tongue,Mohammad Abbas,0,no run,No,No,No,No,,"Dot ball !! fast ball,  good length,  on the off stump,  goes forward,  plays defensive shot to the short cover."
Pakistan 1st Inning,30.5,30,5,Josh Tongue,Mohammad Abbas,4,Four,Yes,No,No,No,,"Four !! fast ball,  good length,  on the off stump. Mohammad Abbas goes back,  hits cut in the gap towards third man,  and ball finds the ropes in a flash for four."
Pakistan 1st Inning,30.4,30,4,Josh Tongue,Mohammad Abbas,0,no run,No,No,Yes,No,,"Dot ball !! outswinger,  good length,  on the off stump,  Josh Tongue sends down a delivery outside the off stump,  and Mohammad Abbas hangs in the crease and watches it closely,  deciding to let ball go to the keeper."
