Inning,Wicket Number,Team Score,Batter Out,Over
Pakistan 1st Inning,1,8,Saim Ayub,2.4
Pakistan 1st Inning,2,14,Azan Awais,5.5
Pakistan 1st Inning,3,24,Abdullah Shafique,8.2
Pakistan 1st Inning,4,26,Shan Masood,9.3
Pakistan 1st Inning,5,48,Babar Azam,14.6
Pakistan 1st Inning,6,64,Ghazi Ghori,16.5
Pakistan 1st Inning,7,84,Mohammad Imran Randhawa,20.4
Pakistan 1st Inning,8,101,Razaullah,23.3
Pakistan 1st Inning,9,107,Saud Shakeel,26.1
Pakistan 1st Inning,10,133,Mohammad Abbas,33.5
England 1st Inning,1,12,Ben Duckett,3.6
England 1st Inning,2,24,Jordan Cox,6.2
England 1st Inning,3,39,Joe Root,11.4
England 1st Inning,4,143,Emilio Gay,33.4
England 1st Inning,5,229,Harry Brook,49.1
England 1st Inning,6,293,Dan Lawrence,61.2
England 1st Inning,7,331,Gus Atkinson,69.6
England 1st Inning,8,372,Jamie Smith,77.4
England 1st Inning,9,409,Ollie Robinson,83.1
England 1st Inning,10,453,Josh Tongue,88.6
Pakistan 2nd Inning,1,0,Saim Ayub,0.1
Pakistan 2nd Inning,2,0,Abdullah Shafique,0.4
Pakistan 2nd Inning,3,125,Azan Awais,30.2
Pakistan 2nd Inning,4,214,Shan Masood,49.2
Pakistan 2nd Inning,5,278,Babar Azam,62.3
Pakistan 2nd Inning,6,306,Saud Shakeel,69.2
Pakistan 2nd Inning,7,312,Ghazi Ghori,72.4
Pakistan 2nd Inning,8,318,Mohammad Imran Randhawa,74.4
Pakistan 2nd Inning,9,439,Mohammad Abbas,95.1
Pakistan 2nd Inning,10,449,Razaullah,96.4
