Inning,Batter,Dismissal,Runs,Balls,4s,6s,Strike Rate
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Colin Munro,b MH Miraz,26,16,4,1,162.5
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Alex Hales,c G Phillips b MI Tahir,22,26,3,0,84.62
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Nicholas Pooran,b MH Miraz,0,1,0,0,0.0
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Justin Greaves,b S Joseph,35,37,1,1,94.59
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Jyd Goolie,b MH Miraz,4,10,0,0,40.0
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Sunil Narine,b MH Miraz,7,5,1,0,140.0
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Kieron Pollard,c S Hetmyer b D Pretorius,10,11,1,0,90.91
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Joshua Da Silva,c V Permaul b S Joseph,4,5,0,0,80.0
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Akeal Hosein,Not out,12,9,2,0,133.33
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Lahiru Kumara,Not out,1,1,0,0,100.0
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Glenn Phillips,b U Tariq,11,18,1,0,61.11
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Mavendra Dindyal,lbw b AJ Hosein,19,14,1,2,135.71
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Shai Hope,Not out,42,35,1,2,120.0
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Shimron Hetmyer,c JP Greaves b S Narine,28,19,0,3,147.37
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Mehidy Hasan Miraz,c K Pollard b L Kumara,2,14,0,0,14.29
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Quentin Sampson,Not out,12,12,2,0,100.0
