Inning,Bowler,Overs,Maidens,Runs Conceded,Wickets,Economy
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Dwaine Pretorius,3.0,0,24,1,8.0
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Shamar Joseph,4.0,0,27,2,6.75
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Veerasammy Permaul,4.0,0,19,0,4.75
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Mehidy Hasan Miraz,4.0,0,23,4,5.75
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Imran Tahir,4.0,0,21,1,5.25
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),Romario Shepherd,1.0,0,10,0,10.0
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Sunil Narine,4.0,1,13,1,3.25
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Akeal Hosein,4.0,0,31,1,7.75
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Usman Tariq,4.0,0,19,1,4.75
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Jyd Goolie,1.0,0,10,0,10.0
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Lahiru Kumara,4.0,0,30,1,7.5
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),Justin Greaves,1.4,0,21,0,12.6
