Inning,Batter,Dismissal,Runs,Balls,4s,6s,Strike Rate
Pakistan 1st Inning,Saim Ayub,lbw b OE Robinson,0,10,0,0,0.0
Pakistan 1st Inning,Azan Awais,c JC Tongue b J Archer,9,20,2,0,45.0
Pakistan 1st Inning,Abdullah Shafique,c DW Lawrence b OE Robinson,3,16,0,0,18.75
Pakistan 1st Inning,Shan Masood,c (sub TO Wylie) b J Archer,5,7,1,0,71.43
Pakistan 1st Inning,Babar Azam,b JC Tongue,7,18,1,0,38.89
Pakistan 1st Inning,Saud Shakeel,b JC Tongue,43,47,7,0,91.49
Pakistan 1st Inning,Ghazi Ghori,lbw b JC Tongue,4,5,1,0,80.0
Pakistan 1st Inning,Mohammad Imran Randhawa,b JC Tongue,5,14,0,0,35.71
Pakistan 1st Inning,Razaullah,c BM Duckett b OE Robinson,11,11,2,0,100.0
Pakistan 1st Inning,Mohammad Abbas,c H Brook b J Archer,21,36,4,0,58.33
Pakistan 1st Inning,Mohammad Ali,Not out,5,19,0,0,26.32
England 1st Inning,Ben Duckett,c B Azam b M Ali,11,15,2,0,73.33
England 1st Inning,Emilio Gay,b Razaullah,60,114,9,0,52.63
England 1st Inning,Jordan Cox,lbw b M Abbas,4,6,0,0,66.67
England 1st Inning,Joe Root,lbw b Razaullah,8,18,0,0,44.44
England 1st Inning,Harry Brook,runout (S Ayub / SM Khan),75,97,6,0,77.32
England 1st Inning,Dan Lawrence,b Mohammad Imran,65,82,9,0,79.27
England 1st Inning,Jamie Smith,c & b Razaullah,69,84,9,1,82.14
England 1st Inning,Gus Atkinson,b Mohammad Imran,19,36,4,0,52.78
England 1st Inning,Ollie Robinson,c SM Khan b Razaullah,50,47,7,1,106.38
England 1st Inning,Jofra Archer,Not out,32,27,1,2,118.52
England 1st Inning,Josh Tongue,c G Ghori b M Ali,15,20,3,0,75.0
Pakistan 2nd Inning,Saim Ayub,c H Brook b OE Robinson,0,1,0,0,0.0
Pakistan 2nd Inning,Azan Awais,c J Cox b DW Lawrence,59,84,10,0,70.24
Pakistan 2nd Inning,Abdullah Shafique,c J Root b OE Robinson,0,3,0,0,0.0
Pakistan 2nd Inning,Shan Masood,c DW Lawrence b G Atkinson,95,148,12,0,64.19
Pakistan 2nd Inning,Babar Azam,c J Cox b JC Tongue,76,103,11,1,73.79
Pakistan 2nd Inning,Saud Shakeel,c E Gay b J Archer,29,59,3,0,49.15
Pakistan 2nd Inning,Ghazi Ghori,c J Cox b G Atkinson,16,27,2,0,59.26
Pakistan 2nd Inning,Mohammad Imran Randhawa,c J Cox b G Atkinson,4,24,0,0,16.67
Pakistan 2nd Inning,Razaullah,st J Cox b DW Lawrence,81,63,4,9,128.57
Pakistan 2nd Inning,Mohammad Abbas,c G Atkinson b JC Tongue,42,67,5,2,62.69
Pakistan 2nd Inning,Mohammad Ali,Not out,4,5,1,0,80.0
