Day / Inning,Milestone Runs,Balls,Batter 1,Batter 1 Runs,Batter 1 Balls,Batter 2,Batter 2 Runs,Batter 2 Balls,Summary Text
Day-1,50,61,Harry Brook,34,31,Emilio Gay,17,30,"50 run partnership of 61 balls,Harry Brook 34(31) runs, Emilio Gay 17(30) runs."
Day-1,100,129,Harry Brook,45,51,Emilio Gay,46,78,"100 run partnership of 129 balls,Harry Brook 45(51) runs, Emilio Gay 46(78) runs."
Day-2,50,59,Dan Lawrence,36,28,Harry Brook,16,31,"50 run partnership of 59 balls,Dan Lawrence 36(28) runs, Harry Brook 16(31) runs."
Day-2,50,62,Jamie Smith,36,34,Dan Lawrence,13,28,"50 run partnership of 62 balls,Jamie Smith 36(34) runs, Dan Lawrence 13(28) runs."
Day-2,50,69,Shan Masood,19,39,Azan Awais,29,30,"50 run partnership of 69 balls,Shan Masood 19(39) runs, Azan Awais 29(30) runs."
Day-3,100,149,Shan Masood,50,81,Azan Awais,43,68,"100 run partnership of 149 balls,Shan Masood 50(81) runs, Azan Awais 43(68) runs."
Day-3,50,51,Babar Azam,22,24,Shan Masood,24,27,"50 run partnership of 51 balls,Babar Azam 22(24) runs, Shan Masood 24(27) runs."
Day-3,50,57,Babar Azam,26,29,Saud Shakeel,18,28,"50 run partnership of 57 balls,Babar Azam 26(29) runs, Saud Shakeel 18(28) runs."
Day-3,50,57,Razaullah,32,31,Mohammad Abbas,14,26,"50 run partnership of 57 balls,Razaullah 32(31) runs, Mohammad Abbas 14(26) runs."
Day-3,100,95,Mohammad Abbas,36,51,Razaullah,62,44,"100 run partnership of 95 balls,Mohammad Abbas 36(51) runs, Razaullah 62(44) runs."
