Inning,Wicket Number,Team Score,Batter Out,Over
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),1,41,Colin Munro,4.4
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),2,41,Nicholas Pooran,4.5
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),3,59,Alex Hales,9.2
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),4,72,Jyd Goolie,12.4
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),5,84,Sunil Narine,14.2
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),6,99,Justin Greaves,16.4
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),7,111,Joshua Da Silva,18.2
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),8,115,Kieron Pollard,19.1
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),1,22,Mavendra Dindyal,3.4
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),2,36,Glenn Phillips,6.3
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),3,85,Shimron Hetmyer,12.2
Guyana Amazon Warriors Inning GAW Inning 127/4 (18.4 ov),4,93,Mehidy Hasan Miraz,15.1
