Inning,Over.Ball,Over,Ball,Bowler,Batter,Runs,Outcome,Is Four,Is Six,Is Wicket,Is Extra,Extra Type,Commentary
Sri Lanka Inning SL Inning 117/10 (16.4 ov),16.3,16,3,Luke Wood,Tharindu Ratnayake,2,2 runs,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),16.2,16,2,Luke Wood,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),16.1,16,1,Luke Wood,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),15.6,15,6,Jamie Overton,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),15.5,15,5,Jamie Overton,Tharindu Ratnayake,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),15.4,15,4,Jamie Overton,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),15.3,15,3,Jamie Overton,Tharindu Ratnayake,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),15.2,15,2,Jamie Overton,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),15.1,15,1,Jamie Overton,Tharindu Ratnayake,6,Six,No,Yes,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),14.6,14,6,Luke Wood,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),14.6,14,6,Luke Wood,Nuwan Thushara,0,1 no ball,No,No,No,Yes,no_ball,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),14.5,14,5,Luke Wood,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),14.4,14,4,Luke Wood,Tharindu Ratnayake,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),14.3,14,3,Luke Wood,Tharindu Ratnayake,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),14.2,14,2,Luke Wood,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),14.1,14,1,Luke Wood,Tharindu Ratnayake,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),13.6,13,6,Sonny Baker,Tharindu Ratnayake,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),13.5,13,5,Sonny Baker,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),13.4,13,4,Sonny Baker,Nuwan Thushara,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),13.3,13,3,Sonny Baker,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),13.2,13,2,Sonny Baker,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),13.1,13,1,Sonny Baker,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),12.6,12,6,Jafer Chohan,Nuwan Thushara,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),12.5,12,5,Jafer Chohan,Nuwan Thushara,2,2 runs,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),12.4,12,4,Jafer Chohan,Tharindu Ratnayake,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),12.3,12,3,Jafer Chohan,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),12.2,12,2,Jafer Chohan,Tharindu Ratnayake,6,Six,No,Yes,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),12.1,12,1,Jafer Chohan,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),11.6,11,6,Sonny Baker,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),11.5,11,5,Sonny Baker,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),11.4,11,4,Sonny Baker,Nuwan Thushara,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),11.3,11,3,Sonny Baker,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),11.2,11,2,Sonny Baker,Nuwan Thushara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),10.6,10,6,Jafer Chohan,Eshan Malinga,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),10.5,10,5,Jafer Chohan,Eshan Malinga,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),10.4,10,4,Jafer Chohan,Eshan Malinga,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),10.3,10,3,Jafer Chohan,Eshan Malinga,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),9.6,9,6,Will Jacks,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),9.5,9,5,Will Jacks,Kamindu Mendis,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),9.4,9,4,Will Jacks,Tharindu Ratnayake,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),9.3,9,3,Will Jacks,Kamindu Mendis,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),9.2,9,2,Will Jacks,Kamindu Mendis,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),9.1,9,1,Will Jacks,Tharindu Ratnayake,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),8.6,8,6,Jafer Chohan,Tharindu Ratnayake,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),8.5,8,5,Jafer Chohan,Kamindu Mendis,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),8.4,8,4,Jafer Chohan,Tharindu Ratnayake,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),8.3,8,3,Jafer Chohan,Tharindu Ratnayake,6,Six,No,Yes,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),8.2,8,2,Jafer Chohan,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),8.1,8,1,Jafer Chohan,Kamindu Mendis,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),7.6,7,6,Will Jacks,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),7.5,7,5,Will Jacks,Tharindu Ratnayake,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),7.4,7,4,Will Jacks,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),7.3,7,3,Will Jacks,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),7.2,7,2,Will Jacks,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),7.1,7,1,Will Jacks,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),6.6,6,6,Jamie Overton,Tharindu Ratnayake,0,1 bye,No,No,No,Yes,bye,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),6.5,6,5,Jamie Overton,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),6.4,6,4,Jamie Overton,Tharindu Ratnayake,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),6.3,6,3,Jamie Overton,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),6.2,6,2,Jamie Overton,Tharindu Ratnayake,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),6.1,6,1,Jamie Overton,Kamindu Mendis,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),5.5,5,5,Will Jacks,Dunith Wellalage,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),5.4,5,4,Will Jacks,Dunith Wellalage,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),5.3,5,3,Will Jacks,Dunith Wellalage,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),5.1,5,1,Will Jacks,Kamindu Mendis,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),4.6,4,6,Jamie Overton,Kamindu Mendis,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),4.5,4,5,Jamie Overton,Kamindu Mendis,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),4.4,4,4,Jamie Overton,Kamindu Mendis,6,Six,No,Yes,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),4.3,4,3,Jamie Overton,Kamindu Mendis,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),4.2,4,2,Jamie Overton,Janith Liyanage,1,1 run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),4.1,4,1,Jamie Overton,Janith Liyanage,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),3.6,3,6,Sonny Baker,Kamindu Mendis,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),3.5,3,5,Sonny Baker,Kamindu Mendis,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),3.4,3,4,Sonny Baker,Kamindu Mendis,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),3.3,3,3,Sonny Baker,Kamindu Mendis,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),3.3,3,3,Sonny Baker,Kamindu Mendis,0,1 wide,No,No,No,Yes,wide,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),3.2,3,2,Sonny Baker,Kamindu Mendis,2,2 runs,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),3.1,3,1,Sonny Baker,Kamindu Mendis,2,2 runs,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),2.6,2,6,Luke Wood,Janith Liyanage,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),2.5,2,5,Luke Wood,Janith Liyanage,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),2.2,2,2,Luke Wood,Lahiru Udara,0,no run,No,No,No,No,,
