Inning,Bowler,Overs,Maidens,Runs Conceded,Wickets,Economy
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Luke Wood,3.4,0,27,4,7.36
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Sonny Baker,4.0,0,23,2,5.75
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Jamie Overton,3.0,0,28,0,9.33
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Will Jacks,3.0,0,13,2,4.33
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Jafer Chohan,3.0,0,25,2,8.33
England Lions Inning ENG-L Inning 118/1 (7.2 ov),Nuwan Thushara,2.0,0,28,0,14.0
England Lions Inning ENG-L Inning 118/1 (7.2 ov),Dushmantha Chameera,1.2,0,34,0,25.5
England Lions Inning ENG-L Inning 118/1 (7.2 ov),Dunith Wellalage,2.0,0,25,1,12.5
England Lions Inning ENG-L Inning 118/1 (7.2 ov),Tharindu Ratnayake,1.0,0,19,0,19.0
England Lions Inning ENG-L Inning 118/1 (7.2 ov),Eshan Malinga,1.0,0,12,0,12.0
